TON,SV,WT,FR,M_T,C_Ra,S_Ra
2,69,6,21,2702,1.822,2.023
5.5,63,6,21,1235,2.338,2.487
3.75,66,8,11,2132,2.16,2.414
3.75,66,4,11,2181,2.067,2.172
7.25,66,8,31,1082,2.422,2.5025
5.5,69,6,21,1471,2.237,2.3825
5.5,69,2,21,1352,2.377,2.464
7.25,66,4,11,1072,2.392,2.628
5.5,69,6,21,1427,2.213,2.351
5.5,69,6,21,1423,2.225,2.365
3.75,66,4,31,2014,1.919,2.1175
3.75,66,8,31,1967,2.144,2.224
7.25,66,4,31,1045,2.478,2.3565
5.5,69,6,21,1418,2.22,2.371
7.25,66,8,11,1143,2.315,2.5395
7.25,72,4,11,1102,2.474,2.58
7.25,72,8,11,1202,2.306,2.581
3.75,72,4,11,2336,2.084,2.373
5.5,69,6,21,1437,2.213,2.363
5.5,69,6,21,1467,2.222,2.371
5.5,69,6,1,1740,2.158,2.3025
9,69,6,21,987,2.579,2.727
5.5,69,6,41,1396,2.056,2.2175
3.75,72,8,11,2461,2.063,2.151
5.5,69,10,21,1482,2.27,2.355
7.25,72,8,31,1158,2.224,2.4135
7.25,72,4,31,1102,2.373,2.4315
5.5,75,6,21,1750,2.134,2.2815
3.75,72,4,31,2273,1.945,2.4455
3.75,72,8,31,2410,1.941,2.108
